Comment,Designator,Footprint,LCSC,Quantity
0.5m,R16,R_Axial_Shunt_L22.2mm_W8.0mm_PS14.30mm_P25.40mm,C105052,1
1K,"R12,R13",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C11702,2
TPS22965DSGR,"U10,U9",TPS22965DSGR,C122837,2
2.2uF,"C3,C5",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C12530,2
TS5A3159ADBVR,U11,SOT-23-6,C128405,1
AP2114,U6,MSOP-8_3x3mm_P0.65mm,C150716,1
100n,C9,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525,1
10u,"C11,C12,C2,C4,C7,C8",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C15525,6
TP4056,U5,TP4056,C16581,1
47u,C10,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C16780,1
D_Small,D3,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C2286,1
100K,R6,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25741,1
10k,"R14,R3,R5,R7",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25744,4
33K,R4,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25779,1
1.5K,R15,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25867,1
4.7k,"R8,R9",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25900,2
TYPE-C 6P(040æ–°),J2,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,C2887422,1
MT3608L,U7,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C2932326,1
SS-12D10L9,SW1,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,C319011,1
DRV8833PWPR,"U1,U3",DRV8833PWPR,C50506,2
1u,"C1,C16,C17",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923,3
22u,"C14,C15",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C59461,2
4.7uH,"L1,L2",L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,C74314,2
AP63203WU,U4,TSOT-23-6,C780769,1
INA219AIDCNR,U8,INA219AIDCNR,C87469,1
CH224K,U2,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,C970725,1
Jumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Jumper_2_Open,JP4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Jumper_2_Open,JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Jumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
5.6K,R11,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,,1
51K,R10,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,,1
TestPoint,TP5,TestPoint_Pad_D2.0mm,,1
TestPoint,TP6,TestPoint_Pad_D2.0mm,,1
TestPoint,TP9,TestPoint_Pad_D2.0mm,,1
TestPoint,TP1,TestPoint_Pad_D2.0mm,,1
1K,R1,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,,1
TestPoint,TP11,TestPoint_Pad_D2.0mm,,1
TestPoint,TP7,TestPoint_Pad_D2.0mm,,1
TestPoint,TP14,TestPoint_Pad_D2.0mm,,1
TestPoint,TP2,TestPoint_Pad_D2.0mm,,1
4.7u,C13,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
TestPoint,TP10,TestPoint_Pad_D2.0mm,,1
Conn_01x02_Pin,J3,PinHeader_1x02_P2.00mm_Vertical,,1
TestPoint,TP8,TestPoint_Pad_D2.0mm,,1
10K,R2,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,,1
TestPoint,TP12,TestPoint_Pad_D2.0mm,,1
Conn_02x16_Odd_Even,J1,PinHeader_2x16_P2.54mm_Vertical,,1
TestPoint,TP13,TestPoint_Pad_D2.0mm,,1
4.7u,C6,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,,1
