Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,108.503,-93.4301,90.0,top
C10,47u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,136.0,-100.5,180.0,top
C11,10u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,145.4325,-111.0,0.0,top
C12,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,104.9325,-71.5,0.0,top
C13,4.7u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,121.5,-100.0,-90.0,top
C14,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,128.195,-109.29,-90.0,top
C15,22u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.82,-103.5425,180.0,top
C16,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,113.9325,-66.5,180.0,top
C17,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,114.4325,-70.0,180.0,top
C2,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,112.9355,-93.4976,180.0,top
C3,2.2uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,111.0,-91.5,90.0,top
C4,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,103.003,-92.4976,180.0,top
C5,2.2uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,100.5,-69.5,180.0,top
C6,4.7u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,147.5,-109.0675,-90.0,top
C7,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,110.5,-100.5675,-90.0,top
C8,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,117.003,-74.0,180.0,top
C9,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,139.695,-97.9325,-90.0,top
D3,D_Small,D_0402_1005Metric_Pad0.77x0.64mm_HandSolder,128.195,-103.5,-90.0,top
J1,Conn_02x16_Odd_Even,PinHeader_2x16_P2.54mm_Vertical,140.11,-68.27,-90.0,top
J2,TYPE-C 6P(040æ–°),USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,101.15,-109.0,-90.0,top
J3,Conn_01x02_Pin,PinHeader_1x02_P2.00mm_Vertical,114.5,-113.0,-90.0,top
L1,4.7uH,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,142.195,-95.0125,90.0,top
L2,4.7u,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,128.5,-115.5,180.0,top
R1,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,114.0,-107.0,-90.0,top
R10,51K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,120.0,-103.0,90.0,top
R11,5.6K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,145.695,-114.4025,-90.0,top
R12,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,139.0975,-102.0,0.0,top
R13,1K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,141.4025,-105.0,0.0,top
R14,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,156.195,-113.9025,-90.0,top
R15,1.5K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,153.5,-113.0,0.0,top
R16,0.5m,R_Axial_Shunt_L22.2mm_W8.0mm_PS14.30mm_P25.40mm,158.35,-89.5,0.0,top
R2,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,106.0,-116.0,-90.0,top
R3,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,142.0925,-81.3787,180.0,top
R4,33K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,141.0975,-75.0,180.0,top
R5,10k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,128.3275,-82.6,180.0,top
R6,100K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,149.5,-75.5,180.0,top
R7,10K,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,144.5925,-80.3787,180.0,top
R8,4.7k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,142.0,-84.5975,-90.0,top
R9,4.7k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,138.6025,-84.3787,0.0,top
SW1,SS-12D10L9,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,137.46,-115.5,0.0,top
U1,DRV8833PWPR,DRV8833PWPR,125.1,-76.125,180.0,top
U10,TPS22965DSGR,TPS22965DSGR,112.515,-63.25,180.0,top
U11,TS5A3159ADBVR,SOT-23-6,150.0,-113.5,180.0,top
U2,CH224K,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,107.5,-110.0,-90.0,top
U3,DRV8833PWPR,DRV8833PWPR,104.2,-79.0,90.0,top
U4,AP63203WU,TSOT-23-6,135.695,-95.0,-90.0,top
U5,TP4056,TP4056,146.5,-101.5,-90.0,top
U6,AP2114,MSOP-8_3x3mm_P0.65mm,153.0,-98.0,180.0,top
U7,MT3608L,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,118.545,-99.3875,-90.0,top
U8,INA219AIDCNR,INA219AIDCNR,138.455,-80.3537,0.0,top
U9,TPS22965DSGR,TPS22965DSGR,144.75,-74.985,-90.0,top
